fecha,nivel,sil,snd,aisp
2021-06-15 02:40:00,0.0713,0.0,0.0,0.0
2021-06-15 02:50:00,0.0713,0.0,0.0,0.0
2021-06-15 03:00:00,0.0707,0.0,0.0,0.0
2021-06-15 03:10:00,0.0705,0.0,0.0,0.0
2021-06-15 03:20:00,0.0707,0.0,0.0,0.0
2021-06-15 03:30:00,0.0691,0.0,0.0,0.0
2021-06-15 03:40:00,0.0691,0.0,0.0,0.0
2021-06-15 03:50:00,0.0697,0.0,0.0,0.0
2021-06-15 04:00:00,0.0691,0.0,0.0,0.0
2021-06-15 04:10:00,0.0676,0.0,0.0,0.0
2021-06-15 04:20:00,0.0669,0.0,0.0,0.0
2021-06-15 04:30:00,0.0659,0.0,0.0,0.0
2021-06-15 04:40:00,0.0661,0.0,0.0,0.0
2021-06-15 04:50:00,0.0664,0.0,0.0,0.0
2021-06-15 05:00:00,0.067,0.0,0.0,0.0
2021-06-15 05:10:00,0.068,0.0,0.0,0.0
2021-06-15 05:20:00,0.0691,0.0,0.0,0.0
2021-06-15 05:30:00,0.0656,0.0,0.0,0.0
2021-06-15 05:40:00,0.0686,0.0,0.0,0.0
2021-06-15 05:50:00,0.0703,0.0,0.0,0.0
2021-06-15 06:00:00,0.0693,0.0,0.0,0.0
2021-06-15 06:10:00,0.0682,0.0,0.0,0.0
2021-06-15 06:20:00,0.0689,0.0,0.0,0.0
2021-06-15 06:30:00,0.0699,0.0,0.0,0.0
2021-06-15 06:40:00,0.0665,0.0,0.0,0.0
2021-06-15 06:50:00,0.0702,0.0,0.0,0.0
2021-06-15 07:00:00,0.0708,0.0,0.0,0.0
2021-06-15 07:10:00,0.0659,0.0,0.0,0.0
2021-06-15 07:20:00,0.0653,0.0,0.0,0.0
2021-06-15 07:30:00,0.0639,0.0,0.0,0.0
2021-06-15 07:40:00,0.0626,0.0,0.0,0.0
2021-06-15 07:50:00,0.0616,0.0,0.0,0.0
2021-06-15 08:00:00,0.0626,0.0,0.0,0.0
2021-06-15 08:10:00,0.0583,0.0,0.0,0.0
2021-06-15 08:20:00,0.0598,0.0,0.0,0.0
2021-06-15 08:30:00,0.0612,0.0,0.0,0.0
2021-06-15 08:40:00,0.0604,0.0,0.0,0.0
2021-06-15 08:50:00,0.0606,0.0,0.0,0.0
2021-06-15 09:00:00,0.0625,0.0,0.0,0.0
2021-06-15 09:10:00,0.0638,0.0,0.0,0.0
2021-06-15 09:20:00,0.0642,0.0,0.0,0.0
2021-06-15 09:30:00,0.0654,0.0,0.0,0.0
2021-06-15 09:40:00,0.0689,0.0,0.0,0.0
2021-06-15 09:50:00,0.0696,0.0,0.0,0.0
2021-06-15 10:00:00,0.0731,0.0,0.0,0.0
2021-06-15 10:10:00,0.0745,0.0,0.0,0.0
2021-06-15 10:20:00,0.0799,0.0,0.0,0.0
2021-06-15 10:30:00,0.0832,0.0,0.0,0.0
2021-06-15 10:40:00,0.0892,0.0,0.0,0.0
2021-06-15 10:50:00,0.0921,0.0,0.0,0.0
2021-06-15 11:00:00,0.0999,0.0,0.0,0.0
2021-06-15 11:10:00,0.1026,0.0,0.0,0.0
2021-06-15 11:20:00,0.1046,0.0,0.0,0.0
2021-06-15 11:30:00,0.1077,0.0,0.0,0.0
2021-06-15 11:40:00,0.1097,0.0,0.0,0.0
2021-06-15 11:50:00,0.1077,0.0,0.0,0.0
2021-06-15 12:00:00,0.1055,0.0,0.0,0.0
2021-06-15 12:10:00,0.1063,0.0,0.0,0.0
2021-06-15 12:20:00,0.1048,0.0,0.0,0.0
2021-06-15 12:30:00,0.1073,0.0,0.0,0.0
2021-06-15 12:40:00,0.1034,0.0,0.0,0.0
2021-06-15 12:50:00,0.1065,0.0,0.0,0.0
2021-06-15 13:00:00,0.105,0.0,0.0,0.0
2021-06-15 13:10:00,0.1051,0.0,0.0,0.0
2021-06-15 13:20:00,0.1061,0.0,0.0,0.0
2021-06-15 13:30:00,0.1071,0.0,0.0,0.0
2021-06-15 13:40:00,0.1028,0.0,0.0,0.0
2021-06-15 13:50:00,0.1026,0.0,0.0,0.0
2021-06-15 14:00:00,0.1053,0.0,0.0,0.0
2021-06-15 14:10:00,0.1043,0.0,0.0,0.0
2021-06-15 14:20:00,0.1053,0.0,0.0,0.0
2021-06-15 14:30:00,0.1044,0.0,0.0,0.0
2021-06-15 14:40:00,0.1041,0.0,0.0,0.0
2021-06-15 14:50:00,0.1041,0.0,0.0,0.0
2021-06-15 15:00:00,0.104,0.0,0.0,0.0
2021-06-15 15:10:00,0.104,0.0,0.0,0.0
2021-06-15 15:20:00,0.1034,0.0,0.0,0.0
2021-06-15 15:30:00,0.1024,0.0,0.0,0.0
2021-06-15 15:40:00,0.1021,0.0,0.0,0.0
2021-06-15 15:50:00,0.1011,0.0,0.0,0.0
2021-06-15 16:00:00,0.0989,0.0,0.0,0.0
2021-06-15 16:10:00,0.0969,0.0,0.0,0.0
2021-06-15 16:20:00,0.0989,0.0,0.0,0.0
2021-06-15 16:30:00,0.0985,0.0,0.0,0.0
2021-06-15 16:40:00,0.0969,0.0,0.0,0.0
2021-06-15 16:50:00,0.0983,0.0,0.0,0.0
2021-06-15 17:00:00,0.096,0.0,0.0,0.0
2021-06-15 17:10:00,0.0961,0.0,0.0,0.0
2021-06-15 17:20:00,0.0968,0.0,0.0,0.0
2021-06-15 17:30:00,0.0974,0.0,0.0,0.0
2021-06-15 17:40:00,0.0975,0.0,0.0,0.0
2021-06-15 17:50:00,0.0953,0.0,0.0,0.0
2021-06-15 18:00:00,0.0969,0.0,0.0,0.0
2021-06-15 18:10:00,0.0964,0.0,0.0,0.0
2021-06-15 18:20:00,0.0991,0.0,0.0,0.0
2021-06-15 18:30:00,0.0996,0.0,0.0,0.0
2021-06-15 18:40:00,0.0988,0.0,0.0,0.0
2021-06-15 18:50:00,0.0991,0.0,0.0,0.0
2021-06-15 19:00:00,0.0989,0.0,0.0,0.0
2021-06-15 19:10:00,0.0973,0.0,0.0,0.0
2021-06-15 19:20:00,0.0951,0.0,0.0,0.0
2021-06-15 19:30:00,0.0966,0.0,0.0,0.0
2021-06-15 19:40:00,0.0951,0.0,0.0,0.0
2021-06-15 19:50:00,0.0944,0.0,0.0,0.0
2021-06-15 20:00:00,0.0912,0.0,0.0,0.0
2021-06-15 20:10:00,0.0921,0.0,0.0,0.0
2021-06-15 20:20:00,0.091,0.0,0.0,0.0
2021-06-15 20:30:00,0.0936,0.0,0.0,0.0
2021-06-15 20:40:00,0.092,0.0,0.0,0.0
2021-06-15 20:50:00,0.0904,0.0,0.0,0.0
2021-06-15 21:00:00,0.0919,0.0,0.0,0.0
2021-06-15 21:10:00,0.0892,0.0,0.0,0.0
2021-06-15 21:20:00,0.0889,0.0,0.0,0.0
2021-06-15 21:30:00,0.088,0.0,0.0,0.0
2021-06-15 21:40:00,0.0884,0.0,0.0,0.0
2021-06-15 21:50:00,0.0863,0.0,0.0,0.0
2021-06-15 22:00:00,0.0849,0.0,0.0,0.0
2021-06-15 22:10:00,0.0837,0.0,0.0,0.0
2021-06-15 22:20:00,0.0847,0.0,0.0,0.0
2021-06-15 22:30:00,0.0838,0.0,0.0,0.0
2021-06-15 22:40:00,0.0843,0.0,0.0,0.0
2021-06-15 22:50:00,0.0815,0.0,0.0,0.0
2021-06-15 23:00:00,0.0848,0.0,0.0,0.0
2021-06-15 23:10:00,0.0854,0.0,0.0,0.0
2021-06-15 23:20:00,0.0828,0.0,0.0,0.0
2021-06-15 23:30:00,0.0835,0.0,0.0,0.0
2021-06-16 00:00:00,0.0828,0.0,0.0,0.0
2021-06-16 00:10:00,0.0801,0.0,0.0,0.0
2021-06-16 00:20:00,0.0791,0.0,0.0,0.0
2021-06-16 00:30:00,0.0793,0.0,0.0,0.0
2021-06-16 00:40:00,0.0795,0.0,0.0,0.0
2021-06-16 00:50:00,0.0799,0.0,0.0,0.0
2021-06-16 01:00:00,0.0767,0.0,0.0,0.0
2021-06-16 01:10:00,0.0745,0.0,0.0,0.0
2021-06-16 01:20:00,0.076,0.0,0.0,0.0
2021-06-16 01:30:00,0.077,0.0,0.0,0.0
2021-06-16 01:40:00,0.076,0.0,0.0,0.0
2021-06-16 01:50:00,0.0733,0.0,0.0,0.0
2021-06-16 02:00:00,0.0764,0.0,0.0,0.0
2021-06-16 02:10:00,0.0734,0.0,0.0,0.0
2021-06-16 02:20:00,0.0745,0.0,0.0,0.0
2021-06-16 02:30:00,0.0726,0.0,0.0,0.0
2021-06-16 02:40:00,0.07,0.0,0.0,0.0
2021-06-16 02:50:00,0.0716,0.0,0.0,0.0
2021-06-16 03:00:00,0.0689,0.0,0.0,0.0
2021-06-16 03:10:00,0.0689,0.0,0.0,0.0
2021-06-16 03:20:00,0.0724,0.0,0.0,0.0
2021-06-16 03:30:00,0.0708,0.0,0.0,0.0
2021-06-16 03:40:00,0.0668,0.0,0.0,0.0
2021-06-16 03:50:00,0.0658,0.0,0.0,0.0
2021-06-16 04:00:00,0.0658,0.0,0.0,0.0
2021-06-16 04:10:00,0.0678,0.0,0.0,0.0
2021-06-16 04:20:00,0.0648,0.0,0.0,0.0
2021-06-16 04:30:00,0.0658,0.0,0.0,0.0
2021-06-16 04:40:00,0.0658,0.0,0.0,0.0
2021-06-16 04:50:00,0.0621,0.0,0.0,0.0
2021-06-16 05:00:00,0.0621,0.0,0.0,0.0
2021-06-16 05:10:00,0.0617,0.0,0.0,0.0
2021-06-16 05:20:00,0.0639,0.0,0.0,0.0
2021-06-16 05:30:00,0.0656,0.0,0.0,0.0
2021-06-16 05:40:00,0.066,0.0,0.0,0.0
2021-06-16 05:50:00,0.0656,0.0,0.0,0.0
2021-06-16 06:00:00,0.0653,0.0,0.0,0.0
2021-06-16 06:10:00,0.0646,0.0,0.0,0.0
2021-06-16 06:20:00,0.0663,0.0,0.0,0.0
2021-06-16 06:30:00,0.0663,0.0,0.0,0.0
2021-06-16 06:40:00,0.0659,0.0,0.0,0.0
2021-06-16 06:50:00,0.0659,0.0,0.0,0.0
2021-06-16 07:00:00,0.0655,0.0,0.0,0.0
2021-06-16 07:10:00,0.0665,0.0,0.0,0.0
2021-06-16 07:20:00,0.0661,0.0,0.0,0.0
2021-06-16 07:30:00,0.0673,0.0,0.0,0.0
2021-06-16 07:40:00,0.0654,0.0,0.0,0.0
2021-06-16 07:50:00,0.0666,0.0,0.0,0.0
2021-06-16 08:00:00,0.0647,0.0,0.0,0.0
